iteration, x, y, value
0,12.0,14.0,268.0
1,3.6000004,-5.6000004,37.840004
2,1.0800002,2.2400002,5.600801
3,0.32400006,-0.89600015,0.8553043
4,0.09720002,0.3584,0.13317448
5,0.029160008,-0.14335996,0.02097723
6,0.008748002,0.057343975,0.0033265953
7,0.002624401,-0.022937588,0.0005295767
8,0.0007873203,0.009175036,8.449122e-05
9,0.0002361961,-0.0036700144,1.34969005e-05
10,7.0858834e-05,0.0014680056,2.1575509e-06
11,2.1257652e-05,-0.00058720214,3.450323e-07
12,6.377296e-06,0.00023488083,5.5189343e-08
